gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,7,1536,4096,ck,8,0,14.5314,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.06,436.41,0.0
gfx942,304,7,4096,12288,ck,8,0,40.5471,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.38,1244.85,0.0
gfx942,304,7,8192,1024,ck,8,0,6.2596,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.76,1359.59,0.0
gfx942,304,8,1536,4096,ck,8,0,14.5697,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.91,435.75,0.0
gfx942,304,8,4096,12288,ck,8,0,41.4942,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.41,1216.93,0.0
gfx942,304,8,8192,1024,ck,8,0,6.3086,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.28,1351.79,0.0
gfx942,304,8,32768,1024,ck,7,0,11.6792,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,45.97,2918.6,0.0
gfx942,304,14,1536,4096,ck,8,0,14.8488,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.86,430.46,0.0
gfx942,304,14,4096,12288,ck,8,0,41.8241,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,33.7,1210.27,0.0
gfx942,304,14,8192,1024,ck,8,0,6.3783,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,36.83,1353.39,0.0
gfx942,304,16,1536,4096,ck,8,0,15.034,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.39,426.11,0.0
gfx942,304,16,4096,12288,ck,8,0,42.6577,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.76,1187.58,0.0
