gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,8,1536,4096,ck,7,0,11.2214,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.97,565.78,0.0
gfx942,304,8,4096,4096,ck,7,0,11.0425,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,24.31,1528.23,0.0
gfx942,304,8,4096,8192,ck,7,0,19.4501,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.6,1731.89,0.0
gfx942,304,16,1536,4096,ck,7,0,10.4047,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.35,615.7,0.0
gfx942,304,16,4096,4096,ck,7,0,10.2152,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.56,1661.62,0.0
gfx942,304,16,4096,8192,ck,7,0,17.9134,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,59.94,1887.78,0.0
gfx942,304,32,1536,4096,ck,7,0,10.6132,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.94,614.41,0.0
gfx942,304,32,4096,4096,ck,7,0,10.3057,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,104.19,1666.11,0.0
gfx942,304,32,4096,8192,ck,7,0,17.6291,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,121.81,1933.09,0.0
gfx942,304,64,1536,4096,ck,7,0,10.6441,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,75.66,634.17,0.0
gfx942,304,64,4096,4096,ck,7,0,11.072,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,193.96,1586.31,0.0
gfx942,304,64,4096,8192,ck,7,0,19.157,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,224.2,1806.29,0.0
gfx942,304,128,1536,4096,ck,7,0,10.4885,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,153.56,687.32,0.0
